center_id,meal_id,category,cuisine,last_week,last_checkout_price,last_base_price,last_promotion,last_homepage_featured,last_num_orders,qty_history,num_history_weeks
10,1062,Beverages,Italian,145,191.09,191.09,0,0,958.0,"[782, 960, 918, 703, 513, 824, 1014, 890, 919, 1120, 945, 958]",12
10,1109,Rice Bowl,Indian,145,292.03,292.03,0,0,1525.0,"[1594, 1554, 1621, 1390, 1850, 1513, 1783, 1446, 1689, 1810, 1905, 1525]",12
10,1198,Extras,Thai,145,171.75,171.75,0,0,406.0,"[379, 188, 432, 298, 431, 406, 688, 594, 325, 270, 540, 406]",12
10,1207,Beverages,Continental,145,388.0,390.0,0,0,54.0,"[230, 257, 216, 351, 94, 82, 337, 175, 135, 136, 284, 54]",12
10,1216,Pasta,Italian,145,417.13,418.13,0,0,215.0,"[107, 215, 107, 216, 148, 230, 162, 107, 189, 366, 230, 215]",12
10,1230,Beverages,Continental,145,382.24,382.24,0,0,68.0,"[67, 122, 123, 108, 96, 28, 149, 122, 134, 135, 150, 68]",12
10,1247,Biryani,Indian,145,447.23,445.23,0,0,14.0,"[13, 40, 14, 27, 15, 69, 53, 13, 28, 14, 28, 14]",12
10,1248,Beverages,Indian,145,164.96,163.96,0,0,244.0,"[487, 203, 405, 485, 296, 285, 418, 190, 312, 122, 283, 244]",12
10,1311,Extras,Thai,145,192.09,193.09,0,0,1027.0,"[798, 594, 784, 539, 445, 609, 622, 568, 473, 582, 500, 1027]",12
10,1438,Soup,Thai,145,194.0,194.0,0,0,107.0,"[163, 134, 54, 122, 162, 42, 135, 135, 54, 148, 53, 107]",12
10,1445,Seafood,Continental,145,728.53,728.53,0,0,108.0,"[270, 69, 123, 53, 55, 55, 26, 41, 40, 432, 310, 108]",12
10,1525,Other Snacks,Thai,145,321.13,320.13,0,0,500.0,"[541, 621, 555, 809, 784, 744, 607, 472, 446, 595, 405, 500]",12
10,1543,Desert,Indian,145,485.03,485.03,0,0,351.0,"[217, 215, 68, 458, 528, 406, 405, 203, 202, 325, 243, 351]",12
10,1558,Pizza,Continental,145,564.6,564.6,0,0,149.0,"[217, 176, 364, 189, 82, 163, 285, 742, 715, 163, 134, 149]",12
10,1571,Fish,Continental,145,639.23,640.23,0,0,270.0,"[204, 149, 377, 269, 188, 472, 420, 269, 188, 406, 203, 270]",12
10,1727,Rice Bowl,Indian,145,464.63,466.63,0,0,864.0,"[1215, 2472, 2619, 2188, 891, 811, 959, 944, 865, 958, 905, 864]",12
10,1754,Sandwich,Italian,145,320.16,318.16,0,0,1027.0,"[716, 1148, 527, 648, 540, 986, 1134, 865, 946, 972, 1161, 1027]",12
10,1770,Biryani,Indian,145,484.03,486.03,0,0,122.0,"[69, 96, 82, 175, 14, 41, 69, 15, 69, 68, 42, 122]",12
10,1778,Beverages,Italian,145,191.12,192.12,0,0,904.0,"[904, 771, 728, 809, 850, 688, 1025, 1067, 878, 946, 1175, 904]",12
10,1803,Extras,Thai,145,169.75,171.75,0,0,406.0,"[850, 553, 458, 608, 501, 568, 674, 580, 459, 566, 661, 406]",12
10,1847,Soup,Thai,145,196.0,196.0,0,0,69.0,"[42, 42, 55, 69, 55, 53, 67, 81, 40, 82, 14, 69]",12
10,1878,Starters,Thai,145,321.13,319.13,0,0,67.0,"[123, 122, 82, 176, 122, 40, 162, 68, 96, 122, 28, 67]",12
10,1885,Beverages,Thai,145,158.14,158.14,0,0,1592.0,"[1768, 1851, 1701, 1716, 1390, 1446, 2321, 1916, 2094, 1986, 1904, 1592]",12
10,1902,Biryani,Indian,145,446.23,445.23,0,0,54.0,"[40, 107, 41, 189, 134, 94, 150, 96, 69, 80, 150, 54]",12
10,1962,Pizza,Continental,145,563.6,562.6,0,0,647.0,"[378, 810, 622, 283, 472, 323, 662, 1378, 1296, 566, 553, 647]",12
10,1971,Sandwich,Italian,145,344.35,346.35,0,0,258.0,"[231, 269, 215, 95, 163, 298, 445, 175, 269, 190, 459, 258]",12
10,1993,Beverages,Thai,145,157.14,158.14,0,0,190.0,"[729, 258, 688, 742, 526, 906, 865, 784, 877, 852, 944, 190]",12
10,2104,Fish,Continental,145,640.23,639.23,0,0,175.0,"[244, 203, 202, 148, 121, 447, 607, 150, 242, 203, 189, 175]",12
10,2126,Pasta,Italian,145,484.03,486.03,0,0,136.0,"[229, 298, 121, 175, 188, 188, 433, 53, 14, 14, 68, 136]",12
10,2139,Beverages,Indian,145,285.18,285.18,0,0,162.0,"[149, 121, 217, 94, 81, 27, 163, 161, 243, 148, 150, 162]",12
10,2290,Rice Bowl,Indian,145,289.09,290.09,0,0,1702.0,"[3808, 1741, 1594, 1877, 1971, 2025, 2390, 2215, 2418, 2067, 2051, 1702]",12
10,2304,Desert,Indian,145,486.03,486.03,0,0,188.0,"[150, 134, 96, 270, 339, 215, 177, 81, 80, 188, 202, 188]",12
10,2306,Pasta,Italian,145,238.65,335.62,1,0,271.0,"[68, 96, 53, 108, 54, 81, 257, 67, 176, 54, 148, 271]",12
10,2322,Beverages,Continental,145,386.06,386.06,0,0,297.0,"[352, 298, 418, 217, 80, 81, 351, 122, 122, 202, 162, 297]",12
10,2444,Seafood,Continental,145,727.53,728.53,0,0,26.0,"[500, 55, 81, 95, 28, 53, 53, 28, 27, 554, 406, 26]",12
10,2490,Salad,Italian,145,275.54,274.54,0,0,244.0,"[297, 325, 487, 351, 203, 297, 661, 257, 296, 339, 607, 244]",12
10,2492,Desert,Indian,145,389.03,388.03,0,0,203.0,"[323, 365, 215, 135, 163, 42, 149, 243, 338, 258, 150, 203]",12
10,2494,Soup,Thai,145,195.0,194.0,0,0,189.0,"[95, 28, 134, 67, 107, 40, 54, 161, 108, 54, 95, 189]",12
10,2539,Beverages,Thai,145,159.11,158.11,0,0,378.0,"[366, 177, 527, 431, 500, 446, 474, 459, 541, 566, 296, 378]",12
10,2569,Salad,Italian,145,242.56,327.89,0,0,1027.0,"[647, 607, 486, 648, 499, 567, 582, 541, 608, 445, 837, 1027]",12
10,2577,Starters,Thai,145,321.13,319.13,0,0,243.0,"[149, 134, 107, 285, 296, 203, 230, 269, 257, 175, 134, 243]",12
10,2581,Pizza,Continental,145,562.6,564.6,0,0,284.0,"[269, 716, 501, 310, 231, 350, 432, 811, 662, 485, 445, 284]",12
